NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,DocketUrl
WPR15FA072,ACC,90554,2014-12-31T18:10:00Z,Benson,Arizona,United States,,N57AW,FALSE,Aviation,DirectorBrief,2016-10-24T04:00:00Z,Fatal,2,0,0,"The pilot’s continued visual flight into instrument meteorological conditions which resulted in an inflight collision with terrain. Contributing to the accident was the pilot’s inadequate preflight planning, during which he failed to identify forecasted deteriorating weather conditions along the route of flight.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Below VFR minima - Decision related to condition, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low ceiling - Effect on operation, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low visibility - Effect on operation, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - Operator",https://data.ntsb.gov/Docket?ProjectID=90554
WPR15TA071,ACC,90552,2014-12-31T14:30:00Z,Las Vegas,Nevada,United States,,N530KK,FALSE,Aviation,DirectorBrief,2017-10-02T04:00:00Z,Serious,0,2,0,A total loss of engine power during cruise flight for reasons that could not be determined because postaccident examination and testing did not reveal any anomalies that would have precluded normal operation.,Not determined - Not determined - (general) - (general) - Unknown/Not determined,https://data.ntsb.gov/Docket?ProjectID=90552
ERA15LA087,ACC,90550,2014-12-30T14:20:00Z,Fort Pierce,Florida,United States,,N419PE,FALSE,Aviation,DirectorBrief,2019-03-18T04:00:00Z,None,0,0,0,"The inadequate modification of the airplane’s canopy latching mechanism, which resulted in the inadvertent opening of the canopy while on final approach to land and a subsequent loss of pitch control.","Aircraft - Aircraft structures - Doors - Passenger/crew doors - Failure, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Attain/maintain not possible, Aircraft - Aircraft handling/service - Maintenance/inspections - (general) - Not specified",https://data.ntsb.gov/Docket?ProjectID=90550
DCA15WA212,INC,93277,2014-12-30T11:00:00Z,Lahore,,Pakistan,,AP-BJN,FALSE,Aviation,None,,None,0,0,0,,,https://data.ntsb.gov/Docket?ProjectID=93277
CEN15LA091,ACC,90551,2014-12-30T09:25:00Z,Roswell,New Mexico,United States,,N950FE,FALSE,Aviation,DirectorBrief,2018-11-06T05:00:00Z,None,0,0,0,"The pilot's failure to maintain adequate airspeed to compensate for icing on the airplane's wings and control surfaces during a circling approach, which resulted in an aerodynamic stall and impact with terrain.","Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Contributed to outcome",https://data.ntsb.gov/Docket?ProjectID=90551
CEN15FA090,ACC,90549,2014-12-30T05:29:00Z,Englewood,Colorado,United States,,N404MG,FALSE,Aviation,DirectorBrief,2016-02-08T05:00:00Z,Fatal,1,0,0,The loss of power to the right engine for reasons that could not be determined during postaccident examination and teardown and the pilot’s failure to properly configure the airplane for single-engine flight.,"Aircraft - Aircraft power plant - (general) - (general) - Failure, Not determined - Not determined - (general) - (general) - Unknown/Not determined, Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot, Personnel issues - Action/decision - Action - Lack of action - Pilot",https://data.ntsb.gov/Docket?ProjectID=90549
CEN15FA092,ACC,90555,2014-12-30T04:30:00Z,Vaughn,New Mexico,United States,,N2558M,FALSE,Aviation,DirectorBrief,2015-09-08T04:00:00Z,Fatal,2,0,0,"The noninstrument-rated pilot’s continued flight into night instrument meteorological conditions, which resulted in his failure to maintain clearance from terrain.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Task performance - Planning/preparation - Weather planning - Pilot, Personnel issues - Physical - Health/Fitness - Use of medication/drugs - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Below VFR minima - Effect on operation, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on operation, Environmental issues - Physical environment - Terrain - Mountainous/hilly terrain - Awareness of condition",https://data.ntsb.gov/Docket?ProjectID=90555
WPR15IA080,INC,90584,2014-12-29T20:00:00Z,Phoenix,Arizona,United States,,N7041X,FALSE,Aviation,DirectorBrief,2017-10-31T04:00:00Z,None,0,0,0,The failure of the fanshaft due to fatigue.,"Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Fatigue/wear/corrosion, Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Failure",https://data.ntsb.gov/Docket?ProjectID=90584
CEN15CA093,ACC,90562,2014-12-29T16:20:00Z,Horseshoe Bay,Texas,United States,,N174CD,FALSE,Aviation,DirectorBrief,2015-01-22T05:00:00Z,None,0,0,0,The helicopter's contact with the landing pad during a rejected landing.,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained,https://data.ntsb.gov/Docket?ProjectID=90562
CEN15FA088,ACC,90545,2014-12-29T16:00:00Z,Port Clinton,Ohio,United States,,N222CP,FALSE,Aviation,DirectorBrief,2015-10-21T04:00:00Z,Fatal,1,0,0,The pilot's loss of control following a loss of left engine power for reasons that could not be determined because an examination of the airframe and engine did not reveal any preimpact abnormalities.,"Aircraft - Aircraft power plant - Engine (reciprocating) - (general) - Not specified, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to carburetor icing - Not specified, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",https://data.ntsb.gov/Docket?ProjectID=90545
